Alarm,Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Battery Life,Dataline Protection,Emergency Power OFF,Form Factor,Hot Swappable,Input Voltage,Kind,Link,Load Capacity (VA),Load Capacity (W),Manufacturer,Maximum Battery Recharge Time,Name,Output Voltage,Part #,Prices,Protection Type,Rack Height,Receptacles,Serial Port,Switching Time,USB,Waveform Type,avg,short_link,load_cap_w,load_cap_va,max_batt_recharge_time,full_load,half_load
,3 Minutes,9 Minutes,Sealed Lead Acid,,RG-6<br/>RJ-11<br/>RJ-45,,Mini-tower,,110 V AC,UPS,/product/thqbt6/cyberpower-ups-cp1000pfclcd,1000 VA,600 W,CyberPower,8 Hour,CyberPower CP1000PFCLCD UPS,120 V AC,CP1000PFCLCD,"[139.94, 139.95, 139.95, 139.95, 149.86, 149.95, 139.95, 139.95]",,,10 x NEMA 5-15R,Yes,,Yes,Sine Wave,142.4375,cyberpower-ups-cp1000pfclcd,600.0,1000.0,8.0,3.0,9.0
On Battery<br/>Overload<br/>Low Battery,7 Minutes,20 Minutes,Sealed Lead Acid,6 Year,,,Tower,Yes,110 V AC,UPS,/product/KJVBD3/tripp-lite-ups-smart1500xl,1500 VA,980 W,Tripp Lite,4 Hour,Tripp Lite SMART1500XL UPS,120 V AC,SMART1500XL,"[505.63, 509.24, 513.99, 536.99]",,,6 x NEMA 5-15R,,4 ms,Yes,,516.4625,tripp-lite-ups-smart1500xl,980.0,1500.0,4.0,7.0,20.0
UPS StartUp<br/>Power Failure<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown,6.40 Minutes,15.60 Minutes,,,,Yes,Tower/Rack Mountable,Yes,120 V AC,UPS,/product/Mr7CmG/tripp-lite-ups-smc10002urm,1000 VA,700 W,Tripp Lite,,Tripp Lite SMC10002URM UPS,120 V AC,SMC10002URM,"[369.99, 349.25]",Brownout<br/>Over Voltage<br/>Surge<br/>Black Out<br/>Under Voltage<br/>EMI / RFI,2U,6 x NEMA 5-15R,Yes,,Yes,Sine Wave<br/>Pure Sine Wave,359.62,tripp-lite-ups-smc10002urm,700.0,1000.0,0.0,6.4,15.6
Low Battery<br/>Overload<br/>Power Failure,4 Minutes,14 Minutes,,,,Yes,Tower/Rack Mountable,Yes,120 V AC,UPS,/product/DTH48d/tripp-lite-ups-sm1000rm1utaa,1000 VA,800 W,Tripp Lite,,Tripp Lite SM1000RM1UTAA UPS,120 V AC,SM1000RM1UTAA,"[564.28, 586.75, 618.99]",Surge<br/>Black Out<br/>Brownout<br/>Over Voltage<br/>Under Voltage<br/>EMI / RFI,1U,6 x NEMA 5-15R,Yes,,Yes,Sine Wave,590.006666667,tripp-lite-ups-sm1000rm1utaa,800.0,1000.0,0.0,4.0,14.0
UPS StartUp<br/>Power Failure<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown,3.50 Minutes,10 Minutes,,,,Yes,Rack-mountable<br/>Tower,Yes,120 V AC,UPS,/product/hZ8H99/tripp-lite-ups-sm3000rm2untaa,3000 VA,2250 W,Tripp Lite,,Tripp Lite SM3000RM2UNTAA UPS,120 V AC,SM3000RM2UNTAA,"[1409.34, 1599.99]",EMI<br/>RFI<br/>Black Out<br/>Surge<br/>Brownout<br/>Over Voltage<br/>Under Voltage,2U,8 x NEMA 5-15/20R<br/>1 x NEMA L5-30R,Yes,,Yes,Pure Sine Wave,1504.665,tripp-lite-ups-sm3000rm2untaa,2250.0,3000.0,0.0,3.5,10.0
Power Failure<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown<br/>UPS StartUp,3.90 Minutes,11.10 Minutes,,,,Yes,Tower/Rack Mountable,Yes,230 V AC,UPS,/product/pM8H99/tripp-lite-ups-smx3000xlrt2ua,3000 VA,2700 W,Tripp Lite,5 Hour,Tripp Lite SMX3000XLRT2UA UPS,230 V AC,SMX3000XLRT2UA,"[1093.05, 1139.99]",Brownout<br/>Over Voltage<br/>Under Voltage<br/>EMI / RFI<br/>Black Out<br/>Surge,2U,8 x IEC 60320 C13<br/>1 x IEC 60320 C19,Yes,,Yes,Sine Wave,1116.52,tripp-lite-ups-smx3000xlrt2ua,2700.0,3000.0,5.0,3.9,11.1
Low Battery<br/>On Battery,5.40 Minutes,14.50 Minutes,Sealed Lead Acid,,,,,Yes,220 V AC,UPS,/product/8sJkcf/apc-ups-sua1000rmi1u,1000 VA,640 W,APC,,APC SUA1000RMI1U UPS,230 V AC,SUA1000RMI1U,[],,1U,4 x IEC 320-C13<br/>2,Yes,,Yes,Sine Wave,0.0,apc-ups-sua1000rmi1u,640.0,1000.0,0.0,5.4,14.5
,5 Minutes,,Sealed Lead Acid,,,Yes,Tower,,110 V AC,UPS,/product/dwVBD3/apc-ups-bk400,400 VA,250 W,APC,10 Hour,APC BK400 UPS,115 V AC,BK400,[],,,,,3 ms,,,0.0,apc-ups-bk400,250.0,400.0,10.0,5.0,0.0
On Battery<br/>Low Battery<br/>Overload,11.40 Minutes,2.40 Minutes,Sealed Lead Acid,6 Year,,,,Yes,,UPS,/product/zRGj4D/apc-ups-bk650ei,650 VA,400 W,APC,8 Hour,APC BK650EI UPS,,BK650EI,"[122.72, 129.99, 129.99]",,,2 x IEC 320-C13<br/>1 x IEC 320-C13<br/>3 x IEC 320-C13,Yes,,Yes,Stepped Sine Wave,127.566666667,apc-ups-bk650ei,400.0,650.0,8.0,11.4,2.4
,2.90 Minutes,10.60 Minutes,,,RJ-11,,Tower,,110 V AC,UPS,/product/DFdFf7/apc-ups-be350,350 VA,225 W,APC,,APC BE350 UPS,120 V AC,BE350,[],,,,,,Yes,,0.0,apc-ups-be350,225.0,350.0,0.0,2.9,10.6
,2.50 Minutes,11.60 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/y7hj4D/apc-ups-be450g,450 VA,257 W,APC,24 Hour,APC BE450G UPS,120 V AC,BE450G,[192.27],,,4 x NEMA 5-15R,,,Yes,,192.27,apc-ups-be450g,257.0,450.0,24.0,2.5,11.6
Low Battery<br/>On Battery<br/>Overload<br/>Battery Missing<br/>Fault,4.80 Minutes,13.20 Minutes,Sealed Lead Acid,,RJ-11<br/>RJ-45,,Tower/Rack Mountable,,120 V AC,UPS,/product/hf8H99/cyberpower-ups-or2200lcdrt2u,2000 VA,1320 W,CyberPower,8 Hour,CyberPower OR2200LCDRT2U UPS,120 V AC,OR2200LCDRT2U,"[375.99, 380.98, 409.99, 399.99]",EMI / RFI<br/>Overload<br/>Surge,,8 x NEMA 5-20R,Yes,,Yes,Simulated Sine Wave,391.7375,cyberpower-ups-or2200lcdrt2u,1320.0,2000.0,8.0,4.8,13.2
,,,Sealed Lead Acid,,RJ-45,,,,,UPS,/product/j7hj4D/apc-ups-be700gr,700 VA,405 W,APC,16 Hour,APC BE700-GR UPS,,BE700-GR,[],,,,,,,,0.0,apc-ups-be700gr,405.0,700.0,16.0,0.0,0.0
,3.30 Minutes,,Sealed Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/ff8H99/apc-ups-be550glm,550 VA,330 W,APC,24 Hour,APC BE550G/LM UPS,120 V AC,BE550G/LM,[],,,4 x NEMA 5-15R,,,Yes,,0.0,apc-ups-be550glm,330.0,550.0,24.0,3.3,0.0
,3.90 Minutes,13.40 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11,,Desktop,,110 V AC,UPS,/product/j9Wrxr/apc-ups-j15blk,1500 VA,865 W,APC,16 Hour,APC J15BLK UPS,120 V AC,J15BLK,"[549.0, 549.99, 549.99, 579.99, 571.99]",,,12 x NEMA 5-15R,,,Yes,,560.192,apc-ups-j15blk,865.0,1500.0,16.0,3.9,13.4
,7 Minutes,,Lead Acid,,,Optional,Tower,Yes,110 V AC,UPS,/product/y2RFf7/apc-ups-smt1500x413,1500 VA,980 W,APC,3 Hour,APC SMT1500X413 UPS,120 V AC,SMT1500X413,"[492.99, 535.99, 535.99, 535.99, 549.99, 598.99]",,,8 x NEMA 5-15R,Yes,,Yes,,541.656666667,apc-ups-smt1500x413,980.0,1500.0,3.0,7.0,0.0
,10 Minutes,25 Minutes,Lead Acid,,,Yes,Tower/Rack Mountable,Yes,,UPS,/product/tYrcCJ/apc-ups-smx2200rmhv2u,2200 VA,1980 W,APC,3 Hour,APC SMX2200RMHV2U UPS,230 V AC,SMX2200RMHV2U,"[1410.99, 1549.99, 1506.4, 1610.15, 1609.99]",,2U,,Yes,4 ms,Yes,,1537.504,apc-ups-smx2200rmhv2u,1980.0,2200.0,3.0,10.0,25.0
,21 Minutes,48 Minutes,Lead Acid,,,Yes,Rack-mountable,Yes,,UPS,/product/YKZ2FT/apc-ups-surtd2200xlim,2200 VA,1540 W,APC,2.50 Hour,APC SURTD2200XLIM UPS,240 V AC,SURTD2200XLIM,[],,3U,,Yes,,,,0.0,apc-ups-surtd2200xlim,1540.0,2200.0,2.5,21.0,48.0
,6 Minutes,18 Minutes,Lead Acid,,,Yes,Tower/Rack Mountable,Yes,,UPS,/product/d2RFf7/apc-ups-smx3000rmhv2u,3000 VA,2700 W,APC,3 Hour,APC SMX3000RMHV2U UPS,230 V AC,SMX3000RMHV2U,"[1599.64, 1603.78, 1598.99, 1799.99, 1849.99]",,2U,,Yes,4 ms,Yes,,1690.478,apc-ups-smx3000rmhv2u,2700.0,3000.0,3.0,6.0,18.0
,4.60 Minutes,15.90 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,110 V AC,UPS,/product/DHNypg/apc-ups-smt750,750 VA,500 W,APC,3 Hour,APC SMT750 UPS,120 V AC,SMT750,"[258.66, 261.22, 267.99, 279.99, 261.22, 304.98, 309.99, 325.49, 303.99]",,,6 x NEMA 5-15R,,,Yes,,285.947777778,apc-ups-smt750,500.0,750.0,3.0,4.6,15.9
On Battery<br/>Low Battery,7.10 Minutes,23.60 Minutes,Sealed Lead Acid,,,,,Yes,220 V AC,UPS,/product/dQVBD3/apc-ups-sua750rmi1u,750 VA,480 W,APC,2 Hour,APC SUA750RMI1U UPS,230 V AC,SUA750RMI1U,"[587.96, 589.99]",,1U,2 x IEC 320-C13<br/>4,Yes,,Yes,Sine Wave,588.975,apc-ups-sua750rmi1u,480.0,750.0,2.0,7.1,23.6
Low Battery<br/>On Battery,,,Sealed Lead Acid,,,Optional,,Yes,,UPS,/product/tTH48d/apc-ups-sua750rmj1ub,750 VA,480 W,APC,,APC SUA750RMJ1UB UPS,100 V AC,SUA750RMJ1UB,[569.0],,1U,4 x NEMA 5-15R,Yes,,Yes,Sine Wave,569.0,apc-ups-sua750rmj1ub,480.0,750.0,0.0,0.0,0.0
,,,Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/kYrcCJ/cyberpower-ups-ec850lcd,850 VA,510 W,CyberPower,8 Hour,CyberPower EC850LCD UPS,120 V AC,EC850LCD,"[72.95, 72.95, 75.99, 72.95, 86.95]",,,6 x NEMA 5-15R,,,Yes,,76.358,cyberpower-ups-ec850lcd,510.0,850.0,8.0,0.0,0.0
,9 Minutes,31 Minutes,Sealed Lead Acid,,,,Rack-mountable,Yes,,UPS,/product/9m8H99/apc-ups-smc1500i2u,1500 VA,900 W,APC,3 Hour,APC SMC1500I-2U UPS,230 V AC,SMC1500I-2U,[],,2U,,Yes,,Yes,,0.0,apc-ups-smc1500i2u,900.0,1500.0,3.0,9.0,31.0
,14.10 Minutes,33.90 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,,110 V AC,UPS,/product/cnnG3C/apc-ups-surta3000rmxl3u,3000 VA,2100 W,APC,2.50 Hour,APC SURTA3000RMXL3U UPS,120 V AC,SURTA3000RMXL3U,"[2044.86, 2044.86, 2231.99, 2284.99, 2419.99]",,3U,2 x NEMA 5-20R<br/>6 x NEMA 5-15R,,,Yes,,2205.338,apc-ups-surta3000rmxl3u,2100.0,3000.0,2.5,14.1,33.9
,,,Sealed Lead Acid,,,Yes,,,,UPS,/product/PBPzK8/apc-ups-surtd5000rmxli,5000 VA,3500 W,APC,2.50 Hour,APC SURTD5000RMXLI UPS,,SURTD5000RMXLI,[4726.64],,3U,,,,,,4726.64,apc-ups-surtd5000rmxli,3500.0,5000.0,2.5,0.0,0.0
,7 Minutes,24 Minutes,Lead Acid,,,Optional,Tower,,,UPS,/product/bPs8TW/apc-ups-smt1500i,1500 VA,980 W,APC,,APC SMT1500I UPS,230 V AC,SMT1500I,"[606.28, 648.99, 673.04, 665.99]",,,,,,Yes,,648.575,apc-ups-smt1500i,980.0,1500.0,0.0,7.0,24.0
,5.80 Minutes,17.20 Minutes,Sealed Lead Acid,,,,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/KtJkcf/apc-ups-smx1500rm2unc,1500 VA,1200 W,APC,3 Hour,APC SMX1500RM2UNC UPS,120 V AC,SMX1500RM2UNC,"[1003.98, 1005.99, 1016.95, 1056.99]",,2U,8 x NEMA 5-15R,,,Yes,,1020.9775,apc-ups-smx1500rm2unc,1200.0,1500.0,3.0,5.8,17.2
On Battery<br/>Low Battery,16.90 Minutes,51.80 Minutes,Sealed Lead Acid,,,Optional,,Yes,220 V AC,UPS,/product/hHNypg/apc-ups-sua750xli,750 VA,600 W,APC,3 Hour,APC SUA750XLI UPS,230 V AC,SUA750XLI,[],,,8 x IEC 320-C13<br/>2,Yes,,Yes,Sine Wave,0.0,apc-ups-sua750xli,600.0,750.0,3.0,16.9,51.8
On Battery<br/>Low Battery,5.10 Minutes,16.70 Minutes,Sealed Lead Acid,,RJ-45,Yes,,Yes,220 V AC,UPS,/product/qFdFf7/apc-ups-sy12kexbx120,12000 VA,8400 W,APC,3 Hour,APC SY12KEXBX120 UPS,240 V AC,SY12KEXBX120,[],,,1,Yes,,,Sine Wave,0.0,apc-ups-sy12kexbx120,8400.0,12000.0,3.0,5.1,16.7
On Battery<br/>Low Battery<br/>Configurable Delay,5 Minutes,17 Minutes,Sealed Lead Acid,,,,Rack-mountable,Yes,220 V AC,UPS,/product/QJVBD3/apc-ups-smt1500rmi1u,1500 VA,1000 W,APC,4 Hour,APC SMT1500RMI1U UPS,230 V AC,SMT1500RMI1U,[],Surge<br/>Spike<br/>Lightning,1U,4 x IEC 60320 C13<br/>2 x IEC Jumper,Yes,,Yes,Sine Wave,0.0,apc-ups-smt1500rmi1u,1000.0,1500.0,4.0,5.0,17.0
On Battery<br/>Low Battery<br/>Overload,7 Minutes,2 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,,120 V AC,UPS,/product/HHNypg/cyberpower-ups-avrg750u,750 VA,450 W,CyberPower,8 Hour,CyberPower AVRG750U UPS,120 V AC,AVRG750U,"[79.95, 79.95, 94.95, 79.95]",Surge<br/>EMI<br/>RFI,,12 x NEMA 5-15R,,,Yes,Simulated Sine Wave,83.7,cyberpower-ups-avrg750u,450.0,750.0,8.0,7.0,2.0
Overload<br/>UPS Fault<br/>Replace Battery<br/>Low Battery<br/>Battery Mode,4.98 Minutes,13.02 Minutes,Lead Acid,,RJ-11<br/>RJ-45,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/7QVBD3/cyberpower-ups-ol8000rt3u,8000 VA,7200 W,CyberPower,5 Hour,CyberPower OL8000RT3U UPS,240 V AC<br/>208 V AC<br/>230 V AC<br/>220 V AC,OL8000RT3U,"[3449.95, 3449.95, 3449.95, 3449.95]",,6U,1 x Terminal Block<br/>3 x NEMA L6-30R,Yes,0 ns,Yes,Sine Wave,3449.95,cyberpower-ups-ol8000rt3u,7200.0,8000.0,5.0,4.98,13.02
,7 Minutes,20 Minutes,,,,Yes,Tower/Rack Mountable,Yes,110 V AC<br/>220 V AC,UPS,/product/Q8KhP6/tripp-lite-ups-su12000rt4uhw,12000 VA,8400 W,Tripp Lite,6 Hour,Tripp Lite SU12000RT4UHW UPS,240 V AC,SU12000RT4UHW,"[6026.53, 6249.99, 6709.99]",,4U,Hardwired,Yes,0 ns,Yes,,6328.83666667,tripp-lite-ups-su12000rt4uhw,8400.0,12000.0,6.0,7.0,20.0
Low Battery<br/>On Battery<br/>Overload,11 Minutes,32 Minutes,Sealed Lead Acid,6 Year,Type F Connector<br/>RJ-45,Yes,Rack-mountable,,110 V AC,UPS,/product/WFdFf7/cyberpower-ups-pr1000lcdrt2u,1000 VA,700 W,CyberPower,8 Hour,CyberPower PR1000LCDRT2U UPS,120 V AC,PR1000LCDRT2U,"[389.95, 398.49, 389.95, 389.95]",Black Out<br/>AC Surge<br/>EMI / RFI<br/>Overload<br/>Sag,2U,8 x NEMA 5-15R,Yes,4 ms,Yes,Sine Wave,392.085,cyberpower-ups-pr1000lcdrt2u,700.0,1000.0,8.0,11.0,32.0
,18 Minutes,39 Minutes,Sealed Lead Acid,,RJ-11<br/>RG-6<br/>RJ-45,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/jd648d/cyberpower-ups-pr1000lcdrtxl2ua,1000 VA,750 W,CyberPower,8 Hour,CyberPower PR1000LCDRTXL2UA UPS,120 V AC,PR1000LCDRTXL2UA,"[469.95, 469.95, 469.95, 469.95]",,2U,8 x NEMA 5-15R,Yes,4 ms,Yes,,469.95,cyberpower-ups-pr1000lcdrtxl2ua,750.0,1000.0,8.0,18.0,39.0
On Battery<br/>Low Battery<br/>Overload,4 Minutes,13 Minutes,Lead Acid,,RJ-45,Yes,Tower/Rack Mountable,,120 V AC,UPS,/product/ZNNypg/cyberpower-ups-pr1500lcdrtxl2ua,1500 VA,1350 W,CyberPower,6 Hour,CyberPower PR1500LCDRTXL2Ua UPS,120 V AC,PR1500LCDRTXL2Ua,"[563.1, 565.95, 656.95]",Surge<br/>EMI / RFI,,8 x NEMA 5-15R,Yes,,Yes,Pure Sine Wave,595.333333333,cyberpower-ups-pr1500lcdrtxl2ua,1350.0,1500.0,6.0,4.0,13.0
Low Battery<br/>On Battery<br/>Overload,7.80 Minutes,25.80 Minutes,Lead Acid,,,,Tower,,110 V AC,UPS,/product/4ccMnQ/cyberpower-ups-pr2200lcd,2200 VA,1980 W,CyberPower,8 Hour,CyberPower PR2200LCD UPS,120 V AC,PR2200LCD,"[699.95, 699.95, 699.95]",,,2 x NEMA 5-20R<br/>8 x NEMA 5-15R,,,,,699.95,cyberpower-ups-pr2200lcd,1980.0,2200.0,8.0,7.8,25.8
Low Battery<br/>On Battery<br/>Overload,4 Minutes,12 Minutes,Sealed Lead Acid,,RJ-45,No,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/L3FXsY/cyberpower-ups-pr2200swrm2u,2200 VA,1500 W,CyberPower,8 Hour,CyberPower PR2200SWRM2U UPS,120 V AC,PR2200SWRM2U,[],,2U,2 x NEMA 5-20R<br/>4 x NEMA 5-15R,Yes,4 ms,,Sine Wave,0.0,cyberpower-ups-pr2200swrm2u,1500.0,2200.0,8.0,4.0,12.0
Overload<br/>On Battery<br/>Low Battery,2.30 Minutes,7.10 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,120 V AC,UPS,/product/M9Wrxr/cyberpower-ups-pr3000lcdrt2u,3000 VA,2700 W,CyberPower,6 Hour,CyberPower PR3000LCDRT2U UPS,120 V AC,PR3000LCDRT2U,"[855.95, 855.95, 855.95, 859.95, 855.95, 855.95]",EMI / RFI,2U,8 x NEMA 5-20R<br/>1 x NEMA L5-30R,Yes,4 ms,Yes,Sine Wave,856.616666667,cyberpower-ups-pr3000lcdrt2u,2700.0,3000.0,6.0,2.3,7.1
Low Battery<br/>On Battery<br/>Overload,6 Minutes,18 Minutes,Sealed Lead Acid,6 Year,Type F Connector<br/>RJ-45,Yes,Rack-mountable,,110 V AC,UPS,/product/r4Crxr/cyberpower-ups-pr1500lcdrt2utaa,1500 VA,1000 W,CyberPower,8 Hour,CyberPower PR1500LCDRT2UTAA UPS,120 V AC,PR1500LCDRT2UTAA,[],Black Out<br/>AC Surge<br/>EMI / RFI<br/>Overload<br/>Sag,2U,8 x NEMA 5-15R,Yes,4 ms,Yes,Sine Wave,0.0,cyberpower-ups-pr1500lcdrt2utaa,1000.0,1500.0,8.0,6.0,18.0
Low Battery<br/>On Battery<br/>Overload,6 Minutes,16 Minutes,Sealed Lead Acid,6 Year,RJ-45<br/>Type F Connector,Yes,Tower/Rack Mountable,,110 V AC,UPS,/product/WgL7YJ/cyberpower-ups-pr2200lcdrt2utaa,2170 VA,1600 W,CyberPower,8 Hour,CyberPower PR2200LCDRT2UTAA UPS,120 V AC,PR2200LCDRT2UTAA,[],Black Out<br/>AC Surge<br/>EMI / RFI<br/>Overload<br/>Sag,2U,8 x NEMA 5-20R,Yes,4 ms,Yes,Sine Wave,0.0,cyberpower-ups-pr2200lcdrt2utaa,1600.0,2170.0,8.0,6.0,16.0
,,,Sealed Valve-regulated Lead Acid (VRLA),,RJ-45,,Rack-mountable,Yes,,UPS,/product/gvVBD3/hp-ups-af418a,1500 VA,1000 W,HP,24 Hour,HP AF418A UPS,,AF418A,[],,1U,,Yes,,Yes,,0.0,hp-ups-af418a,1000.0,1500.0,24.0,0.0,0.0
,3 Minutes,10 Minutes,,,,,Desktop,Yes,110 V AC,UPS,/product/mYrcCJ/tripp-lite-ups-avr750u,750 VA,450 W,Tripp Lite,,Tripp Lite AVR750U UPS,120 V AC,AVR750U,"[81.99, 87.24, 88.99]",,,6 x NEMA 5-15R,,4 ms,Yes,,86.0733333333,tripp-lite-ups-avr750u,450.0,750.0,0.0,3.0,10.0
,4 Minutes,15 Minutes,Sealed Lead Acid,,RJ-45,,Tower,Yes,110 V AC,UPS,/product/nqkwrH/apc-ups-br1300g,1300 VA,780 W,APC,8 Hour,APC BR1300G UPS,120 V AC,BR1300G,"[147.99, 148.89, 149.95, 149.95, 153.99, 149.95, 169.99, 159.99, 179.0, 167.99]",,,5 x NEMA 5-15R,Yes,,Yes,,157.769,apc-ups-br1300g,780.0,1300.0,8.0,4.0,15.0
,3.50 Minutes,10 Minutes,,,RJ-11,,Desktop<br/>Wall Mountable,,110 V AC,UPS,/product/HwVBD3/tripp-lite-ups-eco550upstaa,550 VA,300 W,Tripp Lite,15 Hour,Tripp Lite ECO550UPSTAA UPS,120 V AC,ECO550UPSTAA,"[84.91, 87.35, 85.99]",Brownout<br/>Power Failure,,8 x NEMA 5-15R,,,Yes,,86.0833333333,tripp-lite-ups-eco550upstaa,300.0,550.0,15.0,3.5,10.0
,3 Minutes,10 Minutes,Sealed Lead Acid,,,,Desktop,Yes,220 V AC,UPS,/product/Vhqbt6/tripp-lite-ups-avrx550u,550 VA,300 W,Tripp Lite,,Tripp Lite AVRX550U UPS,282 V AC,AVRX550U,"[87.21, 87.21, 109.99]",,,3,,,,,94.8033333333,tripp-lite-ups-avrx550u,300.0,550.0,0.0,3.0,10.0
Utility Power Failure,7 Minutes,18 Minutes,,6 Year,RJ-11,,Tower,,220 V AC,UPS,/product/MBPzK8/tripp-lite-ups-omnivsint1000,1000 VA,500 W,Tripp Lite,4 Hour,Tripp Lite OMNIVSINT1000 UPS,230 V AC,OMNIVSINT1000,[249.47],,,6 x IEC 320-C13,,4 ms,Yes,Pulse-width Modulated Sine Wave,249.47,tripp-lite-ups-omnivsint1000,500.0,1000.0,4.0,7.0,18.0
,4 Minutes,12 Minutes,,,RJ-11,,Tower,Yes,110 V AC,UPS,/product/PM8H99/tripp-lite-ups-omnivs500u,500 VA,300 W,Tripp Lite,4 Hour,Tripp Lite OMNIVS500U UPS,120 V AC,OMNIVS500U,[],,,3 x NEMA 5-15R,,4 ms,Yes,,0.0,tripp-lite-ups-omnivs500u,300.0,500.0,4.0,4.0,12.0
Utility Power Failure,14 Minutes,,Sealed Lead Acid,6 Year,RJ-11,,Tower,,110 V AC,UPS,/product/QTH48d/tripp-lite-ups-omnismt300pnp,300 VA,180 W,Tripp Lite,4 Hour,Tripp Lite OMNI SMT300PNP UPS,120 V AC,OMNI SMT300PNP,[100.13],,,3 x NEMA 5-15R,Yes,4 ms,Yes,Sine Wave,100.13,tripp-lite-ups-omnismt300pnp,180.0,300.0,4.0,14.0,0.0
,3 Minutes,10 Minutes,,,,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/Cf8H99/tripp-lite-ups-sm3000rmxl2utaa,3000 VA,2880 W,Tripp Lite,5 Hour,Tripp Lite SM3000RMXL2UTAA UPS,120 V AC,SM3000RMXL2UTAA,"[1027.8, 1067.08, 1197.99, 1149.99]",,2U,8 x NEMA 5-15/20R<br/>1 x NEMA L5-30R,Yes,5 ms,Yes,,1110.715,tripp-lite-ups-sm3000rmxl2utaa,2880.0,3000.0,5.0,3.0,10.0
On Battery<br/>Overload<br/>Low Battery,12 Minutes,30 Minutes,Sealed Lead Acid,6 Year,,Yes,,Yes,110 V AC,UPS,/product/QFdFf7/tripp-lite-ups-smart1500rmxl2u,1500 VA,940 W,Tripp Lite,4 Hour,Tripp Lite SMART1500RMXL2U UPS,120 V AC,SMART1500RMXL2U,"[553.99, 563.99, 619.99, 699.44]",,2U,8 x NEMA 5-15R,,4 ms,Yes,,609.3525,tripp-lite-ups-smart1500rmxl2u,940.0,1500.0,4.0,12.0,30.0
On Battery<br/>Overload<br/>Low Battery,16 Minutes,38 Minutes,Sealed Lead Acid,6 Year,,Yes,,Yes,220 V AC,UPS,/product/2gL7YJ/tripp-lite-ups-smart5000rt3u,5000 VA,4000 W,Tripp Lite,4 Hour,Tripp Lite SMART5000RT3U UPS,208 V AC,SMART5000RT3U,"[2774.64, 2795.0, 2808.99, 2839.99, 2879.99]",,6U,2 x NEMA 5-20R<br/>1 x NEMA L14-30R<br/>10 x NEMA 5-15R<br/>1 x NEMA L6-30R,,4 ms,Yes,Sine Wave,2819.722,tripp-lite-ups-smart5000rt3u,4000.0,5000.0,4.0,16.0,38.0
,6 Minutes,12 Minutes,External,,,Yes,Tower/Rack Mountable,Yes,110 V AC<br/>220 V AC,UPS,/product/BsJkcf/tripp-lite-ups-su10000rt3u2tf,10000 VA,8000 W,Tripp Lite,8 Hour,Tripp Lite SU10000RT3U2TF UPS,208 V AC,SU10000RT3U2TF,"[5195.0, 5120.99, 5491.9, 5799.99, 5689.99]",,10U,24 x NEMA L6-30R<br/>2 x NEMA L6-20R<br/>4 x NEMA 5-15/20R,Yes,,,,5459.574,tripp-lite-ups-su10000rt3u2tf,8000.0,10000.0,8.0,6.0,12.0
,5 Minutes,17 Minutes,,,,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/YyfmP6/tripp-lite-ups-suint1500rtxl2ua,1500 VA,1200 W,Tripp Lite,4 Hour,Tripp Lite SUINT1500RTXL2UA UPS,240 V AC<br/>230 V AC<br/>220 V AC<br/>208 V AC,SUINT1500RTXL2UA,"[758.99, 789.99]",,2U,6 x IEC 320-C13,Yes,,Yes,,774.49,tripp-lite-ups-suint1500rtxl2ua,1200.0,1500.0,4.0,5.0,17.0
,2.30 Minutes,11.30 Minutes,Sealed Lead Acid,,RJ-45,,Desktop,,110 V AC,UPS,/product/YzM323/apc-ups-be750g,750 VA,450 W,APC,16 Hour,APC BE750G UPS,120 V AC,BE750G,"[82.99, 82.99, 89.49, 91.99, 94.99, 82.99, 98.89, 99.99, 100.99, 89.99]",,,5 x NEMA 5-15R,,,Yes,,91.53,apc-ups-be750g,450.0,750.0,16.0,2.3,11.3
